year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2018,03,25,31,זכר,בריטניה,מערב אירופה,שחר,מחוז הדרום וירושלים,מקצוע לא מוגדר
2018,06,18,23,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,סטודנט
2018,07,43,48,זכר,קנדה,צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,טכנולוגים רפואיים
2018,07,7,12,נקבה,קנדה,צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2018,07,5,10,נקבה,קנדה,צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,לא צויין
2018,10,69,75,זכר,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,מהנדס אזרחי
2018,10,69,75,נקבה,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,מהנדס אזרחי
2018,10,25,30,זכר,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,טכנאי שיניים
2018,07,17,23,נקבה,מרוקו,ארצות ערב אפריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2018,07,28,33,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,נהג משאית סמיטריילר
2018,07,27,32,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"שוטר, בלש משטרה"
2018,01,53,59,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,01,67,73,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2018,04,53,59,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,וטרינר
2018,04,58,63,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,05,33,39,זכר,אזרביג'אן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,איש מכירות
2018,07,37,42,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,עובד בחקלאות
2018,07,37,42,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,עקרת בית
2018,07,16,21,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,07,14,19,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,07,12,18,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2018,07,9,14,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2018,07,10,16,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2018,07,7,12,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2018,07,5,10,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,07,2,8,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,07,0,6,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2018,07,63,68,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס חומרה
2018,07,62,67,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פועל
2018,08,18,23,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2018,08,19,24,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2018,09,61,66,נקבה,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,רופא
2018,11,63,68,זכר,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2018,10,65,70,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2018,10,83,88,זכר,טג'יקיסטאן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,נהג מונית
2018,11,72,77,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2018,11,72,77,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2018,11,66,71,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מנהל אדמיניסטרטיבי
2018,11,62,67,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,רופא
2018,12,61,65,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מנהל אדמיניסטרטיבי
2018,12,60,65,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,עובד במקצועות חופשיים
2018,07,85,90,זכר,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,פנסיונר / רנטייר
2018,08,10,15,זכר,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2018,08,8,13,נקבה,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2018,08,1,6,זכר,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,
2018,12,37,42,זכר,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,מהנדס בניין
2018,04,19,24,נקבה,צרפת,מערב אירופה,יבנאל,מחוז הצפון,לא צויין
2018,11,23,27,נקבה,בלארוס,מזרח אירופה,יבנאל,מחוז הצפון,מהנדס מחשבים
2018,09,39,44,נקבה,רוסיה,מזרח אירופה,כפר תבור,מחוז הצפון,מורה לאומנויות
2018,09,15,20,זכר,רוסיה,מזרח אירופה,כפר תבור,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2018,10,91,96,נקבה,בלארוס,מזרח אירופה,אילניה,מחוז הצפון,פנסיונר / רנטייר
2018,06,39,45,נקבה,"ארה""ב",צפון אמריקה,גבעת עדה,מחוז הצפון,רופא
2018,06,5,10,זכר,"ארה""ב",צפון אמריקה,גבעת עדה,מחוז הצפון,לא צויין
2018,06,1,7,נקבה,"ארה""ב",צפון אמריקה,גבעת עדה,מחוז הצפון,לא צויין
2018,06,8,13,נקבה,"ארה""ב",צפון אמריקה,גבעת עדה,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2018,12,26,31,זכר,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,מקצוע לא מוגדר
2018,11,18,23,זכר,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,מקצוע לא מוגדר
2018,02,31,36,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,"רוקח, פרמקולוג"
2018,09,72,77,זכר,גרמניה,מערב אירופה,עתלית,מחוז הצפון,פנסיונר / רנטייר
2018,09,71,76,נקבה,גרמניה,מערב אירופה,עתלית,מחוז הצפון,פנסיונר / רנטייר
2018,11,60,65,זכר,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,טייח
2018,11,59,64,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,משפטן
2018,11,39,44,זכר,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,עובד במקצועות חופשיים
2018,11,37,43,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,כלכלן
2018,11,6,11,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2018,02,23,29,זכר,"דרא""פ",שאר אפריקה,כנרת מושבה,מחוז הצפון,סטודנט
2018,02,38,44,זכר,"ארה""ב",צפון אמריקה,מגדל,מחוז הצפון,ספורט
